,canton,search_wohnung,date
569,Obwalden,,2016-01-28
570,Schwyz,,2016-01-28
571,Uri,,2016-01-28
572,Uri,100.0,2015-12-29
573,Nidwalden,55.0,2015-12-29
574,Schwyz,38.0,2015-12-29
575,Schaffhausen,27.0,2015-12-29
576,Solothurn,18.0,2015-12-29
577,Luzern,14.0,2015-12-29
578,Bern,14.0,2015-12-29
579,Basel-Stadt,10.0,2015-12-29
580,Zug,10.0,2015-12-29
581,Thurgau,10.0,2015-12-29
582,Sankt Gallen,10.0,2015-12-29
583,Zürich,9.0,2015-12-29
584,Basel-Landschaft,9.0,2015-12-29
585,Graubünden,8.0,2015-12-29
586,Aargau,7.0,2015-12-29
587,Genf,2.0,2015-12-29
588,Waadt,2.0,2015-12-29
589,Appenzell Innerrhoden,,2015-12-29
590,Appenzell Ausserrhoden,,2015-12-29
591,Freiburg,,2015-12-29
592,Glarus,,2015-12-29
593,Jura,,2015-12-29
594,Neuenburg,,2015-12-29
595,Obwalden,,2015-12-29
596,Tessin,,2015-12-29
597,Wallis,,2015-12-29
598,Obwalden,100.0,2017-10-08
599,Nidwalden,98.0,2017-10-08
600,Appenzell Ausserrhoden,87.0,2017-10-08
601,Schwyz,79.0,2017-10-08
602,Zug,51.0,2017-10-08
603,Luzern,49.0,2017-10-08
604,Schaffhausen,45.0,2017-10-08
605,Aargau,44.0,2017-10-08
606,Basel-Stadt,41.0,2017-10-08
607,Sankt Gallen,36.0,2017-10-08
608,Basel-Landschaft,34.0,2017-10-08
609,Solothurn,31.0,2017-10-08
610,Bern,29.0,2017-10-08
611,Thurgau,28.0,2017-10-08
612,Graubünden,26.0,2017-10-08
613,Zürich,20.0,2017-10-08
614,Freiburg,10.0,2017-10-08
615,Genf,9.0,2017-10-08
616,Tessin,8.0,2017-10-08
617,Waadt,4.0,2017-10-08
618,Appenzell Innerrhoden,,2017-10-08
619,Glarus,,2017-10-08
620,Jura,,2017-10-08
621,Neuenburg,,2017-10-08
622,Uri,,2017-10-08
623,Wallis,,2017-10-08
624,Glarus,100.0,2016-04-05
625,Appenzell Ausserrhoden,70.0,2016-04-05
626,Nidwalden,64.0,2016-04-05
627,Schwyz,40.0,2016-04-05
628,Schaffhausen,36.0,2016-04-05
629,Graubünden,28.0,2016-04-05
630,Solothurn,26.0,2016-04-05
631,Zug,24.0,2016-04-05
632,Thurgau,24.0,2016-04-05
633,Basel-Landschaft,22.0,2016-04-05
634,Zürich,19.0,2016-04-05
635,Sankt Gallen,16.0,2016-04-05
636,Luzern,16.0,2016-04-05
637,Aargau,16.0,2016-04-05
638,Bern,13.0,2016-04-05
639,Basel-Stadt,12.0,2016-04-05
640,Wallis,7.0,2016-04-05
641,Tessin,5.0,2016-04-05
642,Genf,2.0,2016-04-05
643,Waadt,2.0,2016-04-05
644,Appenzell Innerrhoden,,2016-04-05
645,Freiburg,,2016-04-05
646,Jura,,2016-04-05
647,Neuenburg,,2016-04-05
648,Obwalden,,2016-04-05
649,Uri,,2016-04-05
